train_loss,epoch,step,val_loss,val_accuracy
1.1326723098754883,0,0,,
,0,0,1.1717232465744019,0.10999999940395355
1.120305061340332,1,1,,
,1,1,1.158606767654419,0.10999999940395355
1.108213186264038,2,2,,
,2,2,1.1457802057266235,0.10999999940395355
1.0963962078094482,3,3,,
,3,3,1.1332274675369263,0.10000000149011612
1.0848400592803955,4,4,,
,4,4,1.1209162473678589,0.10000000149011612
1.0735182762145996,5,5,,
,5,5,1.1088122129440308,0.09000000357627869
1.0624005794525146,6,6,,
,6,6,1.0968880653381348,0.09000000357627869
1.0514649152755737,7,7,,
,7,7,1.0851253271102905,0.09000000357627869
1.0406956672668457,8,8,,
,8,8,1.0735129117965698,0.09000000357627869
1.0300836563110352,9,9,,
,9,9,1.0620440244674683,0.09000000357627869
1.0196223258972168,10,10,,
,10,10,1.0507152080535889,0.10000000149011612
1.009308934211731,11,11,,
,11,11,1.0395256280899048,0.09000000357627869
0.9991415143013,12,12,,
,12,12,1.0284758806228638,0.09000000357627869
0.9891201853752136,13,13,,
,13,13,1.0175684690475464,0.09000000357627869
0.9792455434799194,14,14,,
,14,14,1.0068069696426392,0.07999999821186066
